Acinar_cell	B_cell	Ductal_cell_type_1	Ductal_cell_type_2	Endocrine_cell	Endothelial_cell	Fibroblast_cell	Macrophage_cell	Stellate_cell	T_cell
RP11-465B22.8	6812384.12	232894.8125	3529291.74	36406535.4075	4005048.8025	592072.7775	6419319.2625	987839.8025	1905212.3775	287864.04
TTLL10-AS1	0	0	16520.81	17956.835	1241981.4	24312.565	0	0	0	0
TTLL10	336000.645	6036.8825	155530.7375	1775831.8425	239905.4525	195157.7075	186835.5575	28087.89	56356.87	30967.56
TNFRSF18	1415164.14	171072.8975	916118.15	7533794.7525	3409597.7725	502149.2875	6732144.26	1175157.2075	1704512.345	5160915.76
TNFRSF4	4720195.395	272887.9175	1358148.325	6398478.925	3874372.64	5805166.9925	12040332.4775	1986953.5875	2654701.955	6745982.5575
SDF4	48568926.5725	2435669.805	23663935.8075	177323715.41	26788070.575	9510804.9075	210832092.6375	14898219.295	29599208.8	3854529.33
B3GALT6	4817244.375	193222.0425	2649767.815	15516460.3875	2608476.5875	1263385.1925	17555175.805	1332527.1375	2899806.4825	224998.39
FAM132A	502731.5225	42580.5475	271635.23	27528724.1075	920601.3375	600462.5575	5242272.725	325318.025	588345.5125	98660.89
UBE2J2	14845536.8325	1948884.2975	8632608.4625	58917296.765	9071206.89	2965668.1675	50824610.8775	4914239.575	10361151.43	1617733.555
SCNN1D	249516.115	22043.485	219436.215	1455094.8125	191322.4175	67151.6275	1605276.1875	94668.895	175243.945	28550.7
ACAP3	5308205.3575	242009.6725	3051766.3375	16821914.635	5642776.2825	1001391.72	19691103.525	1423730.9675	4010238.0125	458431.8325
PUSL1	3821470.59	373211.89	1714907.58	20406780.8575	2084808.035	546972.99	14038004.5275	1323595.0975	2638129.8375	325652.29
CPSF3L	19017415.7325	1766448.4925	9123534.9925	60540286.9875	8737648.825	2901327.58	55953415.8475	4819569.745	10929638.035	1495382.2875
GLTPD1	5485607.13	592087.5975	4984898.9325	29718742.1325	3765804.9375	1418942.6475	14353346.585	1468670.67	2433726.21	710060.17
TAS1R3	0	88912.3975	32192.735	845343.9525	770969.855	10454.0775	209315.12	21893.3575	15863.2425	103248.1925
DVL1	8714892.1475	144034.9375	3078802.6775	38208830.7	3531287.7375	1257327.2925	18099137.1	1040462.07	2947375.645	292198.1
MXRA8	3831844.9675	184662.8275	1975792.0325	14141466.49	4740478.5125	518614.525	470194439.24	1306142.0175	26430943.01	444417.6225
AURKAIP1	77822693.1725	6559155.09	43723656.145	325740534.9275	37945108.8375	10027263.36	176535238.7025	23551821.74	41295702.0575	5301233.955
CCNL2	25519721.7125	1424613.71	12439919.7825	74221899.7025	17141812.5275	5272961.6925	64694158.095	4901837.575	13071162.7825	1646255.7
RP4-758J18.2	3984845.875	688106.3325	3509762.9625	17744363.55	3506844.8325	1021713.525	10304386.145	1060307.1475	2806768.735	590107.0675
MRPL20	82148998.5025	7093786.5075	46817371.1575	312758066.8975	51287424.9875	12640678.4625	229155162.0125	26539059.175	47609864.665	5853654.395
RP4-758J18.13	413219.5475	18347.5525	109632.785	973141.875	288681.4375	36625.7875	713469.42	44339.925	61261.615	6986.8375
ANKRD65	14296570.0475	61215.95	7482058.7325	13766785.6125	6815345.7	2638539.9475	28801226.565	487883.04	849327.3525	96623.9975
RP4-758J18.10	81527.53	2962.7075	138085.8675	372798.1375	95515.905	29190.0325	26627.8075	4886.385	0	4648.975
VWA1	51429540.8575	351607.7525	25650488.665	89228639.285	13784952.53	21915992.895	34837305.4075	1879572.605	3986599.64	431225.575
ATAD3C	6321679.4475	72472.7875	2917184.185	9850529.17	5736431.9975	387413.235	3462567.33	313523.795	439494.84	206985.165
ATAD3B	6648360.9125	364787.76	1968340.665	20561650.68	2750860.315	886167.305	10884997.945	1476770.1625	2184303.44	382940.135
ATAD3A	3815558.935	619732.0975	1884120.3125	18831030.21	2310701.9925	819433.105	15367629.0725	1623115.5225	2814301.0325	410785.43
SSU72	63080371.8725	4820056.8825	34258384.6275	302060016.6825	45876576.1475	10742393.9025	189753694.62	23353892.6325	34745521.535	5520124.0175
AL645728.1	84194.26	35495.325	130397.935	786791.31	144455.52	41677.08	575901.3475	115744.815	134386.5925	40101.34
C1orf233	919574.155	21319.7725	245819.4425	3162764.87	633986.8175	77687.345	8347493.08	650541.89	312306	22070.0475
RP11-345P4.9	3072397.695	104238.73	2668465.78	6644278.8375	6317835.86	389561.39	10089541.9325	595086.065	1580632.5975	118553.07
MIB2	7223579.1125	513426.305	4252338.2625	46112055.4875	5591749.665	1158528.64	24221192.4225	1500230.645	4368998.75	950494.965
MMP23B	3397423.1975	63340.1	958548.915	17960522.065	1211053.8975	288820.965	128019276.585	532429.9425	2150938.315	184321.425
CDK11B	8208390.64	1005341.5925	5065700.3175	49242456.66	5271495.7975	2202457.2275	25454998.2025	3241565.8675	6020275.7625	907637.295
RP11-345P4.10	164853.075	29167.44	91616.11	1042900.78	289534.4675	38656.33	607186.86	67819.0025	142765.895	32504.18
SLC35E2B	15106627.39	670183.7675	7325036.71	36587231.1025	7009217.74	1678762.67	31113398.1425	2058832.7675	5460244.5325	883391.8375
CDK11A	8978636.7125	1935259.135	6050944.94	60451584.89	6045201.6225	3198359.015	31762323.2625	5209242.06	8314756.92	1773658.13
SLC35E2	664294.195	48227.7	280108.3025	1787606.0075	238743.1575	89213.3725	1611636.03	104239.475	348681.59	67094.5275
NADK	10545799.29	1089506.8875	4469238.075	55768448.425	4530883.5875	1988729.8625	21452928.26	4878708.975	5953128.4575	543351.8075
GNB1	41826354.4375	2792579.3425	19081995.155	176253209.0075	26576878.9225	12372796.965	139232733.645	16069556.7775	23733097.1125	2156572.6175
RP1-140A9.1	165493.02	21663.585	178092	674503.0175	95970.5925	12547.0825	344343.185	13548.85	23794.7525	19978.4775
TMEM52	22946614.595	21954.1175	1580889.55	5825473.8075	339643.645	83696.0975	1186348.565	72551.7925	406775.4275	49558.45
C1orf222	167848.9875	3264.6	16513.3675	196925.5625	48327.57	92833.025	217231.2925	14145.5975	721317.565	4611.9325
RP11-547D24.1	0	3097.125	25483.8075	632110.0075	0	96211.69	77788.2275	0	39750.4075	0
GABRD	670497.0675	14416.0825	67483.03	720922.45	191858.6525	1365493.245	1583157.0975	63364.205	3143135.085	27564.0375
PRKCZ	4576103.565	223759.6125	2881069.5325	25251709.9875	2641619.4975	600584.865	5713643.2375	598770.825	1016123.3125	292329.135
RP5-892K4.1	0	42851.7325	163835.845	501460.9525	48442.7175	29400.45	181606.575	22745.965	55717.095	43232.215
RP11-181G12.2	0	2823.555	99260.0375	402999.9025	95078.0575	37064.85	948388.7025	4230.5775	225004.245	4127.7125
C1orf86	44663173.505	2843510.9075	23393530.215	174670132.9525	29021784.43	5840850.045	135849133.4975	13494495.21	27741447.295	3128240.4175
AL590822.1	916247.425	6158.2925	804690.2225	6649449.265	431207.2225	455459.21	3089557.5225	111797.51	936237.01	16033.585
RP11-181G12.5	0	0	8569.8875	161565.9025	94905.2575	4234.635	25479.5575	4047.9775	7525.49	0
SKI	7997854.6975	244574.14	3839737.615	26880453.1575	3859600.4075	4523835.3	59585168.795	3858269.95	10297830.87	539055.12
MORN1	837622.2775	94676.58	958297.52	4877988.7425	862633.56	123468.555	2592268.63	154598.2075	557492.3825	64630.485
RER1	47389368.34	3878741.5075	26140829.88	250988164.9175	18868265.6425	6959091.0825	175872824.07	19675898.955	29078436.8425	4437807.895
PEX10	6329780.72	313332.7725	3787619.045	24485076.0625	3864502.9025	859157.0875	18227675.3075	1588650.7575	2923399.9725	286297.7125
PLCH2	922696.8425	101639.045	329742.385	7464109.035	7550813.13	105131.505	1093938.01	195287.53	314965.72	107782.145
PANK4	2669295.2875	266843.29	1805743.79	7230489.225	2022525.645	594397.095	9299614.7025	771020.095	2893704.865	258378.8725
RP3-395M20.12	2247829.7575	300429.23	1658617.775	12794071.0475	1251797.7025	260167.8925	2866776.66	1095261.59	5029276.32	278223.025
TNFRSF14	19297118.5375	2432557.6025	9270880.225	111298849.6625	11811334.54	3834294.83	40565649.0675	10459792.44	9954521.585	3163448.5975
RP3-395M20.9	166134.8825	138452.19	106376.565	7384267.325	290787.3325	54084.4475	373611.3825	58903.9525	109755.34	71221.57
FAM213B	5320955.285	158508.725	5372554.95	79257334.9125	3893881.3675	1346809.67	9178109.53	1543488.5075	2708560.2125	449947.53
MMEL1	1673538.885	66110.0425	2828566.7425	43066573.6375	1204202.2575	389247.6275	3596233.975	441094.215	501040.415	109896.665
TTC34	247096.8825	33935.53	340818.17	1340146.265	335860.5125	29950.9	503977.45	49844.84	93841.8075	27683.1425
LINC00982	4992419.8925	37056.615	5590468.3175	9180214.505	1878001	229497.97	2072291.86	215732.66	1032451.0825	42159.95
PRDM16	5983800.8775	45960.0325	6020840.28	16628871.92	1786550.8925	510503.47	2714688.0225	297529.89	1684080.7675	67527.6425
ARHGEF16	5237312.6275	90507.465	3108912.9	55036473.9725	2659148.7225	255147.9925	3865755.49	598639.9325	844632.1725	140682.7075
RP11-168F9.2	85127.06	0	17051.32	898704.215	47820.0125	8192.505	107704.73	4451.9425	0	4563.765
MEGF6	3738281.4975	53579.02	1428986.8825	14262091.4925	1689289.7425	293903.0975	25132320.3625	511100.79	861904.245	130340.1525
RP11-46F15.2	0	18142.6775	59247.595	636153.325	95509.5275	4954.31	285465.4025	8875.645	24130.705	15414.28
TPRG1L	9140701.9325	250934.0025	3367351.6275	31647476.56	4876915.08	1169707.615	18424394.39	1047057.7525	2413249.325	265037.3225
WRAP73	4471593.035	681230.6075	2960474.1325	19697032.74	3236262.585	1058611.5	17782095.0975	1906132.04	3405335.665	652431.56
TP73	167417.0525	114197.73	82664.88	1343159.03	241176.8975	35471.0725	267721.765	98915.915	165665.345	63738.3725
TP73-AS1	3501761.5275	166960.0875	1907146.845	7852401.5	1874696.025	608798.1425	10952192.235	570867.1925	1922813.805	146202.935
SMIM1	13819564.895	146353.1425	6415112.3025	16916057.2825	6758258.7225	197109.1175	6250444.55	621056.5725	1180440.3175	277280.1975
LRRC47	9466755.52	874851.0075	5400054.6375	30185345.8925	4389557.16	1649403.345	28159460.455	2404262.225	5856355.72	866585.9375
CEP104	5896805.77	507398.5725	3775721.5975	24161067.7225	3763361.385	1326617.2275	17654957.3	1550357.03	3776571.0375	504600.8625
DFFB	1333301.055	129617.5	653471.7575	4549162.5975	909447.6875	277625.835	3476653.125	369796.2025	683103.1425	137937.81
C1orf174	7809228.89	730215.9275	4595227.605	29010959.515	3664343.2975	1338745.2375	28361919.0275	3161606.275	5515660.2775	737563.2825
LINC01134	81617.02	25784.795	56100.1	2065005.185	97668.8475	7407.2625	158744.705	44053.8875	38482.7425	9102.1675
AJAP1	1329032.475	0	1184490.4775	173234.345	192401.8075	133199.99	611109.76	31212.94	641112.4925	0
NPHP4	1507131.815	45636.675	691216.955	4719752.645	1257521.5825	319011.7775	5424861.115	325471.44	1016247.92	57098.285
KCNAB2	1910249.7	772050.7275	727859.405	8968156.1475	2170245.325	540928.3	6889874.1225	6341487.2675	1813861.4725	1229217.7425
RPL22	944802832.19	75900246.65	313252611.2575	2540330287.605	273657064.4425	95843233.445	1913656826.91	214768542.3125	334369281.4325	62283727.9275
RP1-120G22.11	167334.2275	0	48885.51	518502.78	46675.025	7507.9125	238845.6975	4512.8	38366.3025	2498.26
RNF207	5568765.24	81765.4125	5579796.7975	37310199.0075	1640396.4225	670502.325	14604990.82	453259.045	1689004.295	216776.5225
ICMT	9496337.9725	489562.93	4696075.575	55690846.83	4778754.515	2339128.475	40589513.5925	2180180.5825	8831538.1325	625089.9425
LINC00337	0	34767.25	16799.06	510201.4325	47767.0975	9729.78	25844.34	13183.0925	15821.62	9343.135
GPR153	414525.2875	15303.505	180868.1225	8547136.2925	579019.65	75040.47	15990088.5925	215357.375	1992205.0575	54650.11
ACOT7	2253529.585	870267.935	1970128.655	34160845.6275	3144485.57	1268625.4925	15049073.1025	2513639.4375	3098657.7275	880891.6975
RP1-202O8.3	246723.97	25442.9075	298868	1512135.3525	337769.4475	53470.605	871257.065	119290.8075	135670.6725	24991.695
HES2	253632.76	14924.9375	161229.115	4001406.6775	193462.645	74723.005	449863.86	256906.62	112460.1875	22028.32
ESPN	1075679.2775	33269.3975	717231.9475	29788018.96	3940266.375	73105.7575	2407518.4975	229467.18	274322.25	140979
TNFRSF25	2662767.9375	134843.82	965836.295	13342144.68	2807667.68	1219529.5925	5264566.33	679899.66	1362929.005	2201876.8825
PLEKHG5	1079396.2225	33618.855	596346.575	6165722.4325	480759.0975	1175031.3625	2726584.6025	90575.545	559675.0525	68011.88
NOL9	5238102.645	478567.6075	2734591.2925	14234150.175	3276099.8675	1297006.345	14994932.115	1107704.8225	2907537.515	383625.525
ZBTB48	4648689.505	441815.7925	2550726.95	17129759.565	3507516.4175	808217.2225	10989841.6075	1994234.0575	3231711.9825	443640.7425
KLHL21	4580600.47	172102.2275	2067235.02	21900254.6175	2331024.56	661350.4225	17865265.2975	933759.11	2244969.435	237672.1575
PHF13	3993128.02	99464.3175	2003133.58	11969173.1175	1500182.9525	616070.575	15883168.495	630801.0925	2275896.2	190344.2475
THAP3	5728622.145	507290.625	3868460.7025	24462611.27	3427098.4025	1120153.5775	23202709.7775	1733244.295	4654403.85	549624.21
DNAJC11	13422090.28	723626.2375	4880558.705	36735568.7525	4864808.15	1525926.815	19538552.2175	2815013.6625	5163100.205	731504.6775
CAMTA1	81272289.2375	3731356.2	35030395.695	236086401.0375	27048127.07	14107653.5925	170970007.1075	19507002.84	47654105.48	2887938.66
RP11-338N10.1	0	0	0	152674	0	0	0	0	0	0
VAMP3	13471239.495	583253.3975	8575499.995	85078289.6175	10150745.855	5685591.495	65221975.09	8399434.1125	15059876.4275	850787.1275
PER3	3729267.865	98062.1825	2029627.2225	21482580.8325	3717862.855	1031858.65	16430916.1075	919897.1525	2264238.1725	109799.7175
TNFRSF9	412674.805	9662.33	255370.1225	979069.7875	145523.0375	45164.6425	1556902.7525	283914.51	188565.56	709351.9825
PARK7	150429929.3075	14589565.815	86620034.26	467091372.305	77856687.105	21078814.0425	490957206.52	49836226.695	110701453.245	13706335.455
ERRFI1	129177467.715	389863.9725	69870859.2425	303417723.695	68560421.9875	3445232.8825	211493780.6575	6191107.0775	18370382.405	811176.1175
RP11-431K24.1	1411379.8325	2876.3525	1175546.3075	4482840.555	190146.93	24194.8325	1656408.58	53430.87	700817.81	4388.1875
SLC45A1	337537.52	9123.6275	275451.4025	1383706.3	871349.015	301985.5825	5430406.66	87278.5875	673026.8575	24843.78
RERE	22405346.225	1291989.87	17313622.1675	56139139.175	15392320.555	4712477.185	52728952.8225	3339730.6575	9927393.88	813122.495
ENO1	91944522.4225	20345664.375	92123811.9875	879925729.8075	64676222.8725	21136762.725	744178435.705	103813079.0425	80265645.7375	19452987.025
ENO1-AS1	416516.8175	59276.44	357790.215	1125183.33	487081.3875	48805.33	633248.695	148823.27	148459.77	59462.47
SLC2A5	332978.0075	847428.47	237811.65	1644823.5175	678360.155	52942.2625	5693610.8775	2595323.4575	468537.56	239268.46
GPR157	1831791.44	43561.4775	1397864.4025	11067373.5725	289631.795	267125.9375	4819243.6025	747348.6	693923.2275	159847.2275
RP3-510D11.2	249326.2425	6288.0175	692970.78	2428132.18	141703.505	29159.55	2836588.875	138853.2375	542873.08	31425.1825
H6PD	21004440.89	285165.81	10760771.3	46640875.23	3713843.825	2625863.8875	50555002.8075	2434773.0975	5084121.915	554220.3775
SPSB1	17046203.3	249236.385	5916946.88	23213116.5175	3325362.8075	2364552.7225	92221829.215	769807.7875	7598879.135	373588.335
SLC25A33	3003357.86	674152.7775	1600762.465	22122918.5425	3136772.2325	1111612.12	21901143.1225	2347992.02	5019578.0525	369809.0575
TMEM201	1845320.8775	120946.7125	1094053.4925	4029020.2425	1790212.275	553304.2225	5380632.8325	452542.2675	1179752.22	81335.5475
PIK3CD	3407776.3975	647173.22	1119147.95	2618197.1475	813727.915	176276.9875	4307325.3	1706016.31	928715.6825	535357.2625
RP11-558F24.4	4902586.2075	251289.035	1882845.035	2857730.6775	2222238.535	38883.675	3988913.7925	202083.035	1327030.4075	145796.7325
CLSTN1	25510335.39	1052576.865	11223252.605	110031685.0425	12698433.0975	5442580.655	73186918.22	4403676.3	11603438.64	1090462.76
CTNNBIP1	15370350.26	677731.3925	7432873.2025	71018888.3625	6286787.66	2863022.3125	40757289.9275	6017872.9075	5682004.2975	873176.6425
LZIC	6318361.35	783288.5	4158770.7475	35502899.5825	5397449.4875	1429007.1075	28926796.6075	4220077.5325	5682225.11	784013.2775
NMNAT1	2834598.6	180954.1825	2045002.9475	9077299.8125	1456603.0225	678963.0675	7865012.505	870950.13	1388343.255	140031.0725
RBP7	10440668.7675	218627.5825	2091722.0175	7218834.1675	5843100.6175	35231631.31	7211459.125	3897648.3925	2429773.45	349358.0125
UBE4B	11138172.5725	347337.51	3808927.7675	22058923.535	4096832.3125	1171912.73	14134989.2025	2043343.08	2739962.7175	527800.0575
KIF1B	10052415.5725	106449.7775	6489076.6875	29110822.5475	6041169.88	2300675.145	32510027.3525	2499401.13	5456380.8125	272226.8025
PGD	8713173.785	843333.97	6760614.9125	48765988.5	4972963.6275	1018952.095	28865199.8075	13713036.03	4189847.085	703185.03
APITD1	4163399.715	567333.0375	4250468.6225	21976585.1975	3619999.28	621281.45	10742959.4975	1016302.7075	1904744.7075	307713.08
CORT	0	0	17271.7875	116864.77	0	200980.155	77944.415	9437.205	23871.6475	6674.0225
DFFA	10888641	1298181.85	7533822.53	41521822.0775	5997929.4	3702908.565	31822243.4775	2911363.1625	7665681.43	719755.4175
PEX14	2240659.13	330332.0275	2344269.6525	15132568.5	2497444.7275	882920.2025	12918522.6775	1353806.1425	2462851.0375	357349.3825
CASZ1	6818100.675	104756.31	4076344.125	32236811.05	1964689.25	970067.7275	1978105.0925	367422.9675	677607.1425	127889.1125
C1orf127	166394.2775	2938.8675	83421.17	142065.9725	12157313.8675	33998.9575	286425.035	90344.8525	94085.38	6364.385
TARDBP	22474080.025	2545985.3375	13182306.1325	84958772.735	12784024.4275	5262611.6975	66145074.89	7317393.5375	15111684.1575	1922575.3075
RP4-635E18.8	2993934.95	139923.1175	1568098.485	5880995.0375	1888491.575	366348.2325	3778021.44	352959.3625	870093.2075	147713.9775
SRM	26193137.2925	3076638.12	5822854.3975	66285531.145	12501749.8525	4527064.97	131601502.3025	8087652.8525	20014227.815	2784968.675
EXOSC10	7057925.695	759360.805	4320536.4725	24633322.185	3843736.84	1495357.9925	22849866.02	2402291.7875	4907685.3225	670221.3625
MTOR	2651084.635	226035.34	1957364.9	12664005.425	2019835.0875	1022617.5375	8803178.1825	1149100.8275	2419433.2775	231014.245
UBIAD1	7154180.3425	689738.9375	3267922.59	17038996.6175	3358479.255	1143811.3525	13889390.96	1196876.365	3264574.475	579282.9925
PTCHD2	0	2852.385	32496.87	343176.42	528356.4725	19217.575	130779.5675	4524.9225	15892.91	2205.1125
FBXO2	41145640.315	202323.835	3803041.865	97998744.835	5167438.8525	219672.6125	10890694.1525	582457.6475	761731.13	283004.325
FBXO44	7659402.865	631059.8425	4602422.2975	23360608.4725	7038504.605	618986.7125	21615152.4775	1190388.36	3095531.1675	684287.1025
FBXO6	6675216.7725	336054.37	2721582.6475	22183307.2275	1976179.67	493902.2775	17634317.61	3954288.995	1648976.885	685603.7375
MAD2L2	13570255.5925	1897557.3175	5080087.355	30505634.2125	5357449.5325	2243181.49	40380091.95	5074972.84	8270469.2925	1704103.6275
AGTRAP	21676773.3075	482138.1225	11089504.9025	84015855.8175	5705071.22	3038303.8325	75732447.6875	9517893.515	6762021.4075	1076329.1375
C1orf167	1159070.715	2641.0025	173736.99	6768160.57	522865.88	150899.125	7120142	81977.73	1216234.97	42337.7075
MTHFR	4400859.4875	299944.8225	1810563.335	18701244.13	2460622.7475	1077529.8825	10617310.0475	2104706.105	6321960.87	258237.715
CLCN6	2914867.945	202744.8225	1579650.265	10083831.4025	1930192.9875	622967.5625	8913574.8175	1189114.85	1971513.4725	144377.525
NPPA-AS1	331049.8675	56310.67	211431.48	1414687.8775	436979.5075	66078.375	559173.6975	171337.95	182698.0875	27117.17
KIAA2013	14297355.7175	662876.88	6557292.01	51497264.495	5701884.0025	2516052.1275	37680991.485	4039838.3175	5908573.9	657874.2075
PLOD1	6232364.45	203351.1475	3239453.645	39345192.86	3182119.0325	2936303.375	100553938.39	3240679.1675	13306218.4075	274684.48
MFN2	7237804.73	372133.5175	3553944.67	29305366.0975	4276889.9375	1642364.8675	17449843.6225	2360888.0875	4475014.21	334015.9275
MIIP	6660226.3725	878410.745	2954129.555	27176418.5025	5366366.4925	1078242.875	27543100.9675	3936845.9	5018905.3475	937351.325
TNFRSF1B	4068151.58	708061.775	1794732.8125	16887301.26	3721289.6	5459927.1625	11177915.68	15300303.1025	6787659.0925	3144981.415
VPS13D	13786810.0575	295337.415	4381612.4225	22955150.21	3569397.2175	1820730.7975	17470098.9	1842832.945	10304688.57	494525.4275
DHRS3	30646150.6575	292540.395	14275439.0825	104037416.965	7971253.9275	5719666.125	55478568.9475	8156781.3475	5452753.9025	807838.085
RP11-474O21.5	251542.7775	3337.605	82253.3225	944350.8975	48816.65	37555.8975	633135.5975	54562.505	94560.7775	4316.6
PDPN	993297.9425	52036.4175	399085.8775	4018564.805	2383501.87	147343.8875	183933542.5675	2260193.2725	1341183.1975	96105.8525
PRDM2	9419665.905	1602000.0675	4950827.1275	29539567.2325	4238298.2325	1900517.1075	50425767.43	3226244.645	6179705.225	1109247.325
KAZN	1661685.7175	34934.785	1843982.5625	6452059.885	336599.87	1046625.415	14654967.6875	147358.3425	3186516.1775	17048.4575
TMEM51	25826600.1975	98943.86	13543382.58	48628950.0975	3460547.9975	520440.7875	18281383.32	6745770.0075	4523735.8875	173053.1375
FHAD1	498533.1225	8984.1725	399739.83	3288258.0675	483306.295	33466.9375	4813397.7725	841074.865	164930.4225	21788.0625
RP3-467K16.4	0	0	16056.86	307979.6075	0	0	53023.8975	23192.6625	0	4606.955
EFHD2	33760756.94	1180822.995	5660394.3225	199299832.585	6674467.2575	4433304.115	33085435.445	17615725.9325	8090842.8475	1734755.6025
CASP9	2904837.7825	358026.29	1609587.7875	8944818.27	1252064.9625	388880.425	6606621.09	1157919.6125	2513817.03	202295.0125
DNAJC16	6732652.05	181228.39	3959263.71	19484183.8175	3609852.91	1185995.8225	13012596.6	1157978.715	2624803.065	212600.2475
AGMAT	496953.155	187890.1525	132133.485	4798143.6925	194228.585	15079.3875	715874.13	80653.745	99476.4575	200494.1625
DDI2	7823645.725	370458.8275	4037167.1425	30219579.3725	2848868.59	1864950.1025	20400471.915	2730459.01	3363949.3125	338745.7425
PLEKHM2	8300070.8675	299219.8425	3961790.415	19701404.935	7681221.155	1854030.0725	29611584.2075	3225001.7825	4352514.2425	383550.43
SLC25A34	167823.8725	12816.3	302334.1025	903615.7525	2883702.665	73610.0275	1204892.3575	116538.025	213004.38	27102.6925
RP11-169K16.4	0	0	33199.02	64599.415	48339.75	171563.615	157211.005	8409.0675	211221.2675	0
TMEM82	0	7013.23	16677.82	3441318.335	50113.71	7713.7775	26741.7325	18044.865	0	2182.935
FBLIM1	12898776.21	272623.9325	8694982.8225	76224932.8225	4927508.18	2911188.6375	79612048.19	998426.69	39273180.6125	359180.5775
RP11-169K16.9	7923001.3375	645356.3575	5121967.7775	19194470.415	8229078.5575	1205335.735	16545716.3675	1615853.9175	3712385.8225	563743.995
SPEN	11142198.48	1096684.17	7232963.7525	41661732.6425	6276470.85	3329886.745	29965101.605	3862684.745	9456300.9375	839929.4375
ZBTB17	5062420.6375	454979.145	3322741.12	14251824.925	3532118.75	1336241.245	15740468.3425	1581958.4025	3309006.2275	427907.195
HSPB7	575854.4425	24340.72	367936.03	801439.0125	386058.1675	88640.4025	6811074.6775	108146.7775	6608922.9575	34814.1675
FAM131C	672372.66	9871.1725	627569.72	3124886.06	3663016.65	34060.2625	877900.5475	46236.4075	345870.745	5930.5
EPHA2	6055481.1825	145565.66	5080276.855	101064189.59	4628026.33	1814450.6275	12307245.6275	1148099.05	7669170.5175	315791.7375
RP11-276H7.2	167436.6775	8790.335	205932.9975	1827535.0925	97514.455	27854.1875	291548.745	4418.605	94383.075	4574.04
RP11-276H7.3	0	0	34399.3	459572.215	0	1745.105	0	0	22708.0825	0
ARHGEF19	3088502.045	129233.095	2025628.605	10463739.5175	1350653.505	478245.52	19680683.53	443146.7825	1576928.21	180451.1475
C1orf134	165003.025	0	107416.42	406038.1475	47862.495	13103.2525	292159.9775	4018.2975	25005.3075	2410.2575
RSG1	662927.2825	40053.0775	525624.105	1768663.7	627802.505	83940.44	2888459.25	125030.9275	272692.215	29048.74
FBXO42	5161781.1825	378121.3825	2700507.1325	15113482.7925	3127067.04	831080.405	21809910.215	1842156.3425	3248442.82	420758.965
SZRD1	19618437.0275	1608305.1375	12927931.9325	68492000.66	11529838.515	3893928.36	70660338.11	6644062.4725	15852767.755	1649896.3775
NECAP2	16546484.8675	2525688.19	9803128.1025	62761486.2	6515826.1375	5259836.795	47779047.3925	11133793.8875	8144480.4775	2796429.6375
